Last Update Date,Current Task Name,Academic Year,Sport,Name of your institution:,University ID:,"Upload Agreement (text, DM, email, contract, etc)",Name of business or location of event,Name of your point of contact at the business:,Phone Number for your point of contact:,Email Address for your point of contact:,Type of Endorsement:,Please describe other,"Date(s) of activity (i.e. what date range will you post the tweet(s), when will the appearance be?):","If social media, please include the platform (twitter, instagram, tik tok, etc) and handle/account name:","How many posts will you be utilizing, please explain",Method of Payment (Select All That Apply):,Please describe other,"Proposed Payment Amount (i.e. $5 per post, $500 per appearance, etc.):"
12/15/22 10:52,Approved,2022-23,Men's Basketball,	UC Santa Barbara,,SB B&G Club December.docx.pdf,	Boys and Girls Club Goleta,,,,	Appearance without autographs,,12/13/2022,,,	Venmo (or other electronic payment),,500
1/3/23 9:01,Approved,2022-23,Women's Volleyball,	UC Santa Barbara,,IMG_1730.PNG,	98Strong,,,,	Social Media,,	1/6-1/14,	Instagram,	1 Instagram story post with the link to their company,	Venmo (or other electronic payment),,	10$ for one post and an extra $4 for each person that signs up with the link
2/1/23 8:52,Approved,2022-23,Men's Track,	UC Santa Barbara,,E577C4C8-6607-49B1-AAF8-7E37D883D327.jpeg,	Postgame,,,,	Social Media,,	NA,	Instagram,"	NA, as many as I choose to advertise Adidas products.",	Venmo (or other electronic payment),,	NA
2/3/23 9:59,Approved,2023-24,Women's Soccer,	UC Santa Barbara,,36E91B6B-C914-4364-AE69-C6DC8C004E62.png,	adidas,,,,	Social Media,,2/20/23,,	at least one. will most likely post once every month to build a platform.,	Venmo (or other electronic payment),	Venmo,$50
3/3/23 8:49,Approved,2022-23,Women's Soccer,	UC Santa Barbara,,E7253797-8465-49C7-ABE4-A5E5EF386266.png,	Undrdog athletix,,,,	Social Media,,	Twice a month,	Instagram,	At least twice a month featuring their gear/clothing.,	Other,	PayPal,	10% commission for every order
3/6/23 8:57,Approved,2022-23,Women's Soccer,	UC Santa Barbara,,E6EB61F7-8394-4DD1-B7C2-3531EE1B21D5.png,	Fusion100,,,,	Social Media,,	Once a month,	Instagram,	Once a month for two to three months,	Venmo (or other electronic payment),,	15% commission on every order
3/6/23 8:58,Approved,2022-23,Women's Soccer,	UC Santa Barbara,,0FBDBAC9-B953-4CA6-B8F2-876084402CC8.png,	Fusion100,,,,	Social Media,,	Once a month,	Instagram,	At least once a month. For two to three months,	Venmo (or other electronic payment),,	Commission not specified
3/17/23 15:19,Approved,2022-23,Women's Soccer,	UC Santa Barbara,,108A665D-E6A9-4EC0-9EFF-B5964E32647C.png,	Glosh,,,,	Social Media,,	One post,,	One post,	Product,,	3 $70 items
4/27/23 9:24,Approved,2022-23,Women's Track,	UC Santa Barbara,,CE-Ambassador Agreement JB 4.26.23.pdf,	Clean Energy Smoothies,,,,	Social Media,,	sometime in May,"	insta, twitter, tiktok",	explain in pdf contract,	Product,,	n/a
7/14/23 8:48,Approved,2023-24,Men's Basketball,	UC Santa Barbara,,Nil doc.pdf,	Backyard Bounty Food Bank,,,,	Other,	Community Service,7/12/2023,,,	Check,,"$2,000"
7/17/23 8:54,Approved,2023-24,Men's Basketball,	UC Santa Barbara,,SB - Backyard Bounty w Food Bank of Santa Barbara 061223.docx.pdf,	Farm,,,,	Other,	Farming,7/12/2023,,,	Venmo (or other electronic payment),,500
7/21/23 10:41,Approved,2023-24,Men's Basketball,	UC Santa Barbara,,SB_-_Backyard_Bounty_w_Food_Bank_of_Santa_Barbara_061223.docx.pdf,	SB County food bank,,,,	Appearance without autographs,,7/11/2023,,,	Venmo (or other electronic payment),,	500 for appearance
7/31/23 16:08,Approved,2023-24,Men's Basketball,	UC Santa Barbara,,SB - Backyard Bounty w Food Bank of Santa Barbara 061223.docx.pdf,	Picking Oranges,,,,	Other,	Communal service,07/11/2023,,,"	Venmo (or other electronic payment),Check",	Through bank,1000
"Aug 3, 2023 12:15 PM",Approved,,Baseball,	UC Santa Barbara,,,United Boys & Girls Clubs of Santa Barbara County Carnival 080923,,,,Appearance Fee,Charitable,,,,,,"$7,083.00"
"Aug 18, 2023 10:00 AM",Approved,,Baseball,	UC Santa Barbara,,,Food Bank of Santa Barbara County - Mobile Food Pantry Distribution 081923,,,,Appearance Fee,Charitable,,,,,,"$7,083.00"
"Aug 22, 2023 1:41 PM",Approved,,Baseball,	UC Santa Barbara,,,Unity Shoppe Engagement 08.23.23,,,,Appearance Fee,Charitable,,,,,,"$7,083.00"
"Aug 22, 2023 2:03 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 08.23.23 - $5,000.00",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Aug 22, 2023 2:03 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 08.23.23 - $5,000.00",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Aug 22, 2023 2:09 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 08.23.23 - $4,000.00",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Aug 22, 2023 2:16 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August - $2,000.00",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Aug 22, 2023 2:16 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August - $2,000.00",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Aug 22, 2023 2:16 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August - $2,000.00",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Aug 22, 2023 2:21 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 08.23.23 - $1,500.00",,,,Appearance Fee,Charitable,,,,,,"$1,500.00"
"Aug 22, 2023 2:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August Engagement - $1,000.00",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Aug 22, 2023 2:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August Engagement - $1,000.00",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Aug 22, 2023 2:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - August Engagement - $1,000.00",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
8/24/23 15:04,Approved,2023-24,Women's Volleyball,	UC Santa Barbara,,IMG_7255.png,	Alani Nutrition,,,,	Social Media,,	8/1/2023-5/31/2024,"	instagram, TikTok",	I will be posting 2 instagram stories a month & 1 TikTok a month,	Product,,"	4 cases of energy drinks a month, $150 store credit"
8/25/23 8:29,Approved,2023-24,Women's Track,	UC Santa Barbara,,Page2.jpeg,	Flood Sports LLC.,,,,	Social Media,,8-24-23,	Instagram,1,	Venmo (or other electronic payment),,$200
"Aug 29, 2023 1:26 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe - August Engagement - Gage Gomez,,,,Appearance Fee,Charitable,,,,,,"$3,000.00"
9/5/23 8:53,Approved,2023-24,Women's Swimming & Diving,	UC Santa Barbara,,SBR Sammie 01 15 23.pdf,	SBR Sports,,,,	Social Media,,	2/1/23-12/31/23,"	Instagram, Tiktok",	1-2 posts on my personal account after past triathlons,	Product,,"	Free products, provided with an affiliate code (I do not promote it)"
9/11/23 9:52,Approved,2023-24,Women's Soccer,	UC Santa Barbara,,IMG_8351.png,	Lawrra,,,,	Social Media,,October 2023,,	1-2 . Only 2 if the packages don’t come all together,	Product,,	Receiving the products is my payment
9/12/23 8:32,Approved,2023-24,Women's Swimming & Diving,	UC Santa Barbara,,IMG_3679.PNG,	Dermasport,,,,	Social Media,,	Aprox 9/18,,	1 story post,	Product,,	Product
"Sep 14, 2023 12:59 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe - 091423 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Sep 20, 2023 12:16 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe - 09202023 - $10,000.00 Deal",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Sep 22, 2023 1:05 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 092223 - $10,000",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
9/25/23 8:30,Approved,2023-24,Women's Swimming & Diving,	UC Santa Barbara,,Screenshot 2023-09-24 at 5.31.09 PM.png,	Dermasport,,,,	Social Media,,	2023-2024,(Instagram),	1-2 causal posts with affiliate code included,"	Cash,Product",,	Commission
9/27/23 8:35,Approved,2023-24,Baseball,	UC Santa Barbara,,IMG_8913.PNG,	G Fuel,,,,	Social Media,,	October-December,	Instagram,	5 Instagram story posts,"	Check,Product",,	$30 per post
9/28/23 8:17,Approved,2023-24,Women's Volleyball,	UC Santa Barbara,,IMG_4317.png,	G-Fuel,,,,	Social Media,,	24 hours after,	Instagram,	5 Instagram Stories on Campus asking people to taste-test/react videos,"	Venmo (or other electronic payment),Product",,	$150 Cash and $150 Product for 5 posts
"Oct 3, 2023 11:04 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $10,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Oct 3, 2023 11:09 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys and Girls Club Engagement - 10042023 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Oct 3, 2023 11:09 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys and Girls Club Engagement - 10042023 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Oct 3, 2023 11:13 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Oct 3, 2023 11:13 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Oct 3, 2023 11:25 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 3, 2023 11:25 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 3, 2023 11:25 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 3, 2023 11:25 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 3, 2023 11:29 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 3, 2023 11:29 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 3, 2023 11:29 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 3, 2023 11:29 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys & Girls Club Engagement - 100423 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 11, 2023 9:50 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Boys and Girls Club - 101123 - $10,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Oct 19, 2023 9:08 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe - 10.20.23 - $2,500 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Oct 19, 2023 9:08 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe - 10.20.23 - $2,500 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Oct 19, 2023 9:08 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe - 10.20.23 - $2,500 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Oct 19, 2023 9:08 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe - 10.20.23 - $2,500 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Oct 19, 2023 9:16 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe - 10.20.23 - $3,750.00 Deal",,,,Appearance Fee,Charitable,,,,,,"$3,750.00"
"Oct 19, 2023 9:19 AM",Approved,,Baseball,	UC Santa Barbara,,,"Unity Shoppe Engagement - 10.20.23 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Oct 31, 2023 11:36 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $10,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Oct 31, 2023 11:40 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Oct 31, 2023 11:40 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Oct 31, 2023 11:43 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Oct 31, 2023 11:43 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Oct 31, 2023 11:49 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 31, 2023 11:49 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 31, 2023 11:49 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 31, 2023 11:49 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Oct 31, 2023 11:52 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 31, 2023 11:52 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 31, 2023 11:52 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Oct 31, 2023 11:52 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.1.2023 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Nov 3, 2023 4:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.2023 - $10,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Nov 3, 2023 4:18 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Nov 3, 2023 4:18 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $5,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Nov 3, 2023 4:28 PM",Expired,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Nov 3, 2023 4:28 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $4,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Nov 3, 2023 4:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Nov 3, 2023 4:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Nov 3, 2023 4:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Nov 3, 2023 4:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $2,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Nov 3, 2023 4:33 PM",Expired,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Nov 3, 2023 4:33 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Nov 3, 2023 4:33 PM",Expired,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Nov 3, 2023 4:33 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,"Page Youth Center - 11.04.23 - $1,000 Deal",,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
11/17/23 8:47,Approved,2023-24,Women's Basketball,	UC Santa Barbara,,voli.jpeg,	Voli Wellness,,,,	Social Media,,	Continuous post from November 2023 and on until agreement is terminated,"	instagram, twitter",	I will continuously post photos and story clips marketing the brand.,	Venmo (or other electronic payment),,	30% of sales from referrals
11/21/23 9:13,Approved,2023-24,Women's Swimming & Diving,	UC Santa Barbara,,IMG_4085 2.PNG,	Location: through tik tok,,,,	Social Media,,November 21,	Tik tok,	one post on tik Tok with an Adidas filter,	Venmo (or other electronic payment),,	20$ for post
12/11/23 9:29,Approved,2023-24,Men's Tennis,	UC Santa Barbara,,Vibe Tennis x Pablo Masjuan signed.pdf,	Vibe Tennis,,,,	Social Media,,	January 2024 to June 2024,	Instagram,	1 post and a couple stories,	Venmo (or other electronic payment),,	200 Per post
12/18/23 9:08,Approved,2023-24,Women's Cross Country,	UC Santa Barbara,,2024 PBfit Athlete Contract.eml,	PBfit,,,,	Social Media,,	Year of 2024,,"	I am expected to post at least once a year on my personal instagram platform, and to represent the brand in whatever way I want on my platforms.",	Product,,$0
"Dec 20, 2023 1:30 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Santa Barbara Rescue Mission - 12.21.23,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
1/6/24 10:25,Approved,2023-24,Baseball,	UC Santa Barbara,,PNG image.jpeg,	UNDRDOG ATHLETIX,,,,	Social Media,,1/5/24,	Instagram,1-3,	Product,,	200$ in product
1/17/24 8:37,Approved,2023-24,Women's Swimming & Diving,	UC Santa Barbara,,2024 Ambassador Contract.pdf,	SBR Sports,,,,	Social Media,,	Febuary 1- Dec 31 2024,,"	Posts as needed, no post requirement",	Venmo (or other electronic payment),,	Free product and potential for commision
1/22/24 8:37,Approved,2023-24,Women's Cross Country,	UC Santa Barbara,,Welcome to the Team!.eml,	Slate milk,,,,	Social Media,,	whenever possible (once a week),	instagram and tik tok,	however many possible,	Product,,"	I will receive products by completing post ""challenges"""
1/29/24 8:28,Approved,2023-24,Men's Tennis,	UC Santa Barbara,,Sam Rappaport Agreement v002.pdf,	BVOS,,,,	Social Media,,"	An entire year, if not more",,	There is not a specific amount,	Check,	5% Equity in profit,	5% Equity in Profit
"Jan 30, 2024 1:10 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 2.2.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jan 31, 2024 5:27 PM",Approved,,Baseball,	UC Santa Barbara,,,Boys and Girls Club 2.21.24,,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Jan 31, 2024 5:28 PM",Approved,,Baseball,	UC Santa Barbara,,,Boys and Girls Club 2.21.24,,,,Appearance Fee,Charitable,,,,,,"$2,500.00"
"Jan 31, 2024 5:31 PM",Approved,,Baseball,	UC Santa Barbara,,,Boys and Girls Club 2.19.24,,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Jan 31, 2024 5:32 PM",Approved,,Baseball,	UC Santa Barbara,,,Boys and Girls Club 2.21.24,,,,Appearance Fee,Charitable,,,,,,"$3,750.00"
"Feb 2, 2024 3:13 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 2.9.24,,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Feb 5, 2024 5:04 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 2.9.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Feb 5, 2024 5:07 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 2.12.24,,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Feb 26, 2024 3:07 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 3.1.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Mar 4, 2024 5:08 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Unity Shoppe 3.8.24,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
3/5/24 8:28,Approved,2023-24,Women's Basketball,	UC Santa Barbara,,"Release, Alyssa Marin.pdf",	Santa Barbara Specialty Product,,,,	Social Media,,	Range of times,,	Exchange for merchandise and goods. Posts will be done at any given point.,"	Product,Other","	Merchandise, Ivan bar",0$
3/21/24 12:21,Approved,2023-24,Women's Soccer,	UC Santa Barbara,,05501610-AD91-4C33-9258-0AB99EA2D1BB.png,	Evryjewels,,,,	Social Media,,4/10,	instagram,"	2, one story and one post",	Check,,	5% commission for every order using my code.
3/22/24 9:58,Approved,2023-24,Women's Soccer,	UC Santa Barbara,,Independent Contractor - UCSB Agreement.pdf,	Athlinics,,,,	Outside Camp,,3/30/24,,,	Check,,300
3/28/24 8:07,Approved,2023-24,Baseball,	UC Santa Barbara,,"Ager, Matt- Wild Card Agreement - 03-12-24.pdf",	Wild Card Inc,,,,	Other,	Signing Cards,	Whenever I sign all the cards,,,	Check,,	3$ per card
4/1/24 8:52,Approved,2023-24,Baseball,	UC Santa Barbara,,"Darby, Zander - Wild Card Agreement - 03-12-24_encrypted_.pdf",	Wild Card Trading Cards,,,,	Autograph Session,,	3/26-3/28,,,	Check,,"	$3,000 for 1,500 autographs"
4/3/24 10:25,Approved,2023-24,Baseball,	UC Santa Barbara,,Matt Ager_Onyx_Trading_Card_Agreement.doc,	Onyx,,,,	Other,	Signing Cards,	Past month whenever I had time,,,	Check,,	5$ per signature 400 card
4/16/24 9:55,Approved,2023-24,Softball,	UC Santa Barbara,,Firefly NIL Agreement 2024 for Signature.pdf,	Firefly,,,,	Social Media,,	April 16 2024- October 16 2024,	instagram,"	two posts, 

a story, and a main feed post on instagram",	Product,,"	125 dollars worth of product 
for two posts, and a review"
"Apr 19, 2024 8:29 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,4.26.24 Boys and Girls Club,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
5/10/24 14:29,Approved,2023-24,Baseball,	UC Santa Barbara,,"Gallagher, Ryan - Wild Card Agreement - 03-12-24 - signed.pdf",	Wild Card,,,,	Autograph Session,,	N/A,,,	Check,,"$3,000"
"Jun 14, 2024 8:42 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,6.15.24 Adam's Angels Food mission,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jun 17, 2024 8:24 AM",Approved,,Men's Basketball,	UC Santa Barbara,,,6.20.24 Cold Springs Elementary,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jul 11, 2024 6:03 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Food Bank of Santa Barbara County - 7.13.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$10,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$4,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$3,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$3,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$3,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Jul 20, 2024 5:14 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Jul 22, 2024 4:24 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Adopt-A-Block 7.23.24,,,,Appearance Fee,Charitable,,,,,,"$5,000.00"
"Jul 22, 2024 5:49 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$1,000.00"
"Jul 22, 2024 5:49 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$2,000.00"
"Jul 22, 2024 5:49 PM",Approved,,Men's Basketball,	UC Santa Barbara,,,Boys & Girls Club - 7.19.24,,,,Appearance Fee,Charitable,,,,,,"$3,000.00"
