Sport Type,Transaction ID,Transaction Type,Cost,Payment Type,Vendor Name,Vendor Point of Contact,Submitted Date
Football,Nohl Williams,Social Media,"$5,000.00",Cash,California legends,Base path App,4/5/2023
Football,Promotion Of Clothing,Social Media,"$5,000.00",Cash,Cal Legends Collective,Kevin Kennedy,4/6/2023
Football,Clothing Promotion,Social Media,"$5,000.00",Cash,Cal Legends Collective,Kevin Kennedy,4/6/2023
Football,Event Promotion,Social Media,"$10,000.00",Cash,Cal Legends Collective,Kevin Kennedy,4/6/2023
Football,Nohl Williams,Social Media,"$10,000.00",Cash,Cal Legends,Base Bath App,4/6/2023
Football,Speaking Engagement,Public Appearance,"$1,000.00",Cash,Grid Club,John Stock,1/9/2023
Football,Advertising,Social Media,$300.00,Cash,Biscayne media,Steven Bonefont,10/20/2022
Football,Speaking At Interview,Public Appearance,$500.00,Cash,San Francisco Grid Club,John Stock,9/28/2022
Football,Grid Club Appearance,Public Appearance,$500.00,Cash,Grid Club,John Stock,9/28/2022
Football,Autograph Trading Cards,Autographs,"$3,000.00",Cash,Sage Collectibles LLC,Josh Escovedo,9/26/2022
Football,video chat,Social Media,$30.00,Cash,play booked,patrick,8/29/2022
Football,drink delivery,Other,$50.00,Product/Equity,bylt,bylt,8/29/2022
Football,Shoutout,Social Media,$20.00,Cash,playbooked,patrick,8/25/2022
Football,Song promotion,Social Media,"$1,000.00",Cash,12th & collins ent,Tanner Simkins,8/23/2022
Football,Agent agreement Tanner Simkins,Representation Disclosure,$0.00,Cash,Tanner Simkins,Tanner Simkins,8/16/2022
Football,NFT Partnership,Other,$0.00,Cash,FanField Sports LLC,Johnny,7/10/2022
General,Affiliate Program,Social Media,$0.00,Cash,Campus Protein,Campus Protein,4/4/2023
General,Firefly Recovery,Social Media,$100.00,Product/Equity,Firefly Recovery,Lauren Campbell,2/17/2023
General,CVY Co,Other,$20.00,Product/Equity,CVY Co,Instagram,10/12/2022
General,Chill Boys,Social Media,$50.00,Product/Equity,Chill Boys,MOGL,2/15/2023
General,Brooks Running (98 Strong),Social Media,"$3,000.00",Cash,Brooks Running,Sammy Junco,2/15/2023
General,Luke Buddie,Social Media,$60.00,Product/Equity,LifeAid,Brice Mcallister,11/17/2022
General,Barstool Athlete,Representation Disclosure,$0.00,Cash,Barstool Sports,Email,11/4/2022
General,MOGL,Other,$15.00,Cash,MOGL,MOGL Online,10/12/2022
Golf (Mens),Post,Social Media,$100.00,Product/Equity,Duffl,Nicole Burke,4/7/2023
Golf (Mens),Post,Social Media,$40.00,Product/Equity,Sweetrollz Golf,@sweetrollzgolf,11/15/2022
Golf (Mens),Socil media Post Social Media,,$120.00,Product/Equity,4ore Nutrition,TJ Telford,9/13/2022
Gymnastics (Mens),Gymnastics Camp Coach Camps and Lessons,,$0.00,Cash,Accel Gymnastics Training Center,Matt Hodges,6/11/2023
Gymnastics (Mens),Speaking About My Gymnastics Experience For KPublic Appearance,,$150.00,Cash,California Strong Athletics,Zachary Stevens,6/9/2023
Gymnastics (Mens),Speaking About Gymnastics Experience And PartPublic Appearance,,$150.00,Cash,Californa Strong Athletics,Zachary Stevens,6/9/2023
Gymnastics (Mens),Cal Strong Athletics Grand Opening Showcase Public Appearance,,$150.00,Cash,Cal Strong Athletics,Zachary Stevens,6/9/2023
Gymnastics (Mens),Grand Opening Of A Gym Public Appearance,,$150.00,Cash,California Strong Athletics,Zachary Stevens,6/7/2023
Gymnastics (Mens),turn gymnastics photshoot Not Sure,,$250.00,Cash,Turn gymnastics,andrea vidovic,5/30/2023
Gymnastics (Mens),Turn Gymnastics Photoshoot Not Sure,,$250.00,Cash,Turn Gymnastics,Andrea Vidovic,5/30/2023
Gymnastics (Womens),urban decay pr mailer Social Media,,$110.00,Product/Equity,urban decay,macie willis,6/9/2023
Gymnastics (Womens),Photoshoot Social Media,,$250.00,Cash,Erin gymnastics,Andrea Vidovic,5/29/2023
Gymnastics (Womens),Cashapp Card Campaign Social Media,,$230.00,Cash,Cashapp,Julia Fisch,3/20/2023
Gymnastics (Womens),Video Public Appearance,,$125.00,Cash,CalHope,Anders Bjork,3/10/2023
Gymnastics (Womens),Opendorse Boogie Ad Not Sure,,$300.00,Cash,Animal Biome,Emily Jarvis,12/2/2022
Gymnastics (Womens),Ozone Leotards Social Media,,"$3,000.00",Cash,Ozone Leos,Nicole Radon,11/16/2022
Gymnastics (Womens),Instagram reel Social Media,,$180.00,Cash,ZipRecruiter (Through PlayBooked),Julia Fisch,11/17/2022
Gymnastics (Womens),course hero Social Media,,$200.00,Cash,course hero,Course hero,10/8/2022
Gymnastics (Womens),Leo Design Business Ownership/Creation,,$400.00,Cash,Ozone Leos,Nicole Radon,9/26/2022
Gymnastics (Womens),Social Media Post Social Media,,$180.00,Cash,ZipRecruiter (through PlayBooked),Julia Fisch,9/1/2022
Gymnastics (Womens),Clothing Promotion Social Media,,$80.00,Cash,TenTree (through PlayBooked),Julia Fisch,8/22/2022
Lacrosse (Womens),Clinic Camps and Lessons,,$110.00,Cash,Instacoach,Ty Corley,11/3/2022
Rowing (Mens),Promotion Video Other,,$125.00,Cash,CalHope,Patrick Werksma,3/9/2023
Rowing (Mens),Verb bars Social Media,,$40.00,Product/Equity,Verb Energy Co,Nikki,9/2/2022
Rugby (Mens),Instagram Posts Social Media,,$195.00,Product/Equity,Whatif Foods,Sammy Junco,7/27/2023
Rugby (Mens),Chill Boys Social Media,,$25.00,Cash,Chill Boys,Kevin,10/26/2022
Rugby (Mens),MOGL Campaign Social Media,,$10.00,Cash,MOGL,Brandon Wimbush,10/26/2022
Rugby (Mens),Bang Energy Social Media,,$0.00,Product/Equity,Bang Energy,Lia Panzacchi,10/26/2022
Rugby (Mens),Training Camps and Lessons,,$0.00,Cash,Instacoach,Ty Corley,9/23/2022
Soccer (Mens),Brand Athlete Other,,$500.00,Cash,"Condor Interactive, Inc",Gus Laredo,8/31/2022
Soccer (Mens),Tentree Social Media,,$50.00,Cash,Tentree,PlayBooked Rep,8/30/2022
Soccer (Womens),Waterdrop Social Media,,$150.00,Product/Equity,Icon Source,Kathleen Schreiber,7/27/2023
Soccer (Womens),BAMnut Social Media,,$120.00,Cash,BAMnut,98Strong,7/25/2023
Soccer (Womens),Capelli Sport Social Media,,$162.99,Product/Equity,Capelli Sport,Sarah Damsky,4/17/2023
Soccer (Womens),Civilian/CalMHSA Social Media Campaign Social Media,,"$5,000.00",Cash,"Civilian, Inc",Madison Espinoza,3/16/2023
Soccer (Womens),California Legends Collective Social Media,,$250.00,Cash,California Legends Collective,Kayla,9/30/2022
Soccer (Womens),ZipRecruiter And PlayBooked Social Media,,$200.00,Cash,ZipRecruiter,Julia Fisch,9/14/2022
Soccer (Womens),Tentree Social Media,,$70.00,Cash,PlayBooked LLC,Julia Fisch,8/18/2022
Softball,Teneral Cellars Promotion Social Media,,$100.00,Cash,Teneral Cellars,PlayBooked/Cal Legends,7/4/2023
Softball,CalHope Other,,$125.00,Cash,Cal Hope,Anders Bjork,5/3/2023
Softball,Promo Video Social Media,,$125.00,Cash,CalHope,Anders Bjork,5/4/2023
Softball,T Shirt Making Other,,$10.00,Cash,InfluenceTee,Brandon,3/27/2023
Softball,Everytable Store Opening Social Media,,$0.00,Cash,Everytable,Alex George,2/23/2023
Softball,008 Camp Camps and Lessons,,$600.00,Cash,008 Training,Octavia Bond,1/6/2023
Softball,Teneral Cellars Promo Social Media,,$100.00,Cash,Teneral Cellars,Cal Legends,12/23/2022
Softball,Teneral Cellars Promo Social Media,,$100.00,Cash,Teneral Cellars,Cal Legends,12/23/2022
Softball,Teneral Cellars Promo Social Media,,$200.00,Cash,Teneral Cellars,Jill Osur,10/14/2022
Softball,Example Content Video Other,,$100.00,Cash,California Legends,Kayla Merice,9/24/2022
Softball,Instagram Reel/Story Social Media,,$200.00,Cash,Ziprecruiter,Julia Fisch,9/21/2022
Softball,tiktok video Social Media,,$300.00,Cash,Raising Cane's,Jacqueline Brown,8/29/2022
Softball,Shoutout Social Media,,$200.00,Cash,ZipRecruiter,Julia Fisch,9/5/2022
Softball,Shoutout Social Media,,$200.00,Cash,ZipRecruiter,Julia Fisch,9/5/2022
Softball,Photoshoot Other,,$300.00,Cash,Teneral Cellars,Jill Osur,8/30/2022
Softball,photoshoot Other,,$300.00,Cash,teneral cellars,jill osur,8/31/2022
Softball,Photoshoot Other,,$300.00,Cash,Teneral Cellars ‐ Jill Osur,Ca Legends,8/30/2022
Softball,tiktok video and add Social Media,,$410.00,Product/Equity,Hype and Vice,Hype and Vice. Inc,8/29/2022
Softball,tiktok video Social Media,,$600.00,Cash,Bloom Nutrition,Jillian Freeborn,8/29/2022
Softball,Zip Recruiter Social Media,,$200.00,Cash,Playbooked,Julia Fisch,9/15/2022
Swimming/Diving (Mens),Cuts NIL deal Social Media,,$333.33,Cash,Cuts Clothing,Danny Holdsman,9/15/2022
Swimming/Diving (Womens),FitAid Social Media,,$150.00,Product/Equity,FitAid,Life Aid Support Team,5/31/2023
Swimming/Diving (Womens),SBR Ambassador Social Media,,$100.00,Cash,SBR Sports Inc,Andrew Smidt,1/30/2023
Swimming/Diving (Womens),Liquid IV Athlete Ambassador Social Media,,$45.00,Cash,Liquid IV,Erin Shore,10/14/2022
Swimming/Diving (Womens),Hair Products Social Media,,$70.00,Product/Equity,SBRS Sports,SBR Sports Incorporated,9/29/2022
Swimming/Diving (Womens),Product samples Social Media,,$70.00,Product/Equity,SBR Sports USA,Instagram DM,9/28/2022
Swimming/Diving (Womens),Product Shipment Social Media,,$90.00,Cash,SBR Sports,Andrew Smidt,8/27/2022
Swimming/Diving (Womens),Cal + CAMPUS Royalty,,"$2,500.00",Product/Equity,CAMPUS,CAMPUS,7/25/2022
Track and Field (Mens),Free Product Social Media,,$70.00,Product/Equity,Chike,Ashley spears,4/28/2023
Track and Field (Mens),INFLUENCETEE Social Media,,$121.21,Cash,Influencetee,Brandon Wilson,4/27/2023
Track and Field (Mens),Video on Tik Tok Social Media,,$200.00,Cash,Bond Bracelet,Margo,2/9/2023
Track and Field (Mens),Influencer on Tik Ton Social Media,,$900.00,Cash,Tik Tok,Tik Tok influencer,2/9/2023
Volleyball (Beach),Hydroflask Social Media,,$100.00,Cash,Postgame,Postgame,8/30/2022
Volleyball (Beach),Crocs Social Media,,$40.00,Product/Equity,Crocs,Postgame,8/30/2022
Volleyball (Beach),Free merchandise Social Media,,$100.00,Product/Equity,celsius,celsius brand ambassadors,7/12/2022
Volleyball (Womens),Workout,Social Media,$500.00,Cash,Sky Development Athletics,Dakota Conwell,6/10/2023
Volleyball (Womens),Brand Promotion,Social Media,$720.00,Product/Equity,Prozis,Telmo Paiva,4/10/2023
Volleyball (Womens),Brand Ambassador,Social Media,$468.00,Product/Equity,GoMacro,Cortney Krause,4/4/2023
Water Polo (Mens),Instacoach,Camps and Lessons,$0.00,Cash,Dylan Woodhead,Phone,9/28/2022
Water Polo (Womens),2023 SBR Ambassador,Not Sure,$25.00,Product/Equity,SBR Sports,Andrew Smidt,1/6/2023
Water Polo (Womens),Commission Sales Rep,Not Sure,$10.00,Cash,NBRHD Laguna,Luc,1/6/2023
Water Polo (Womens),Vuori V1 Influencer Program,Social Media,$200.00,Product/Equity,Vuori,Vuori,11/15/2022
Water Polo (Womens),Coaching,Camps and Lessons,$0.00,Cash,Insta Coach,Ty Corley,9/27/2022
Water Polo (Womens),Jolyn Collegiate Ambassador,Social Media,$0.00,Cash,Jolyn,Jolyn Team,8/29/2022
Baseball,instagram/twitter post,,"$1,000.00",Cash,Cash,cal legends,
Baseball,Instagram Post,,"$10,000.00",Cash,Cash,Cal Legends,
Basketball (Mens),Social Media Posts,Social Media,"$8,500.00",Cash,Ca Legends,Randy Scott,1/31/2024
Basketball (Mens),Social Media Posts,Social Media,"$93,500.00",Cash,CA Legends,Randy Scott,
Basketball (Mens),cal legends collective november payment,Other,"$5,000.00",Cash,cal legends collective,abby prentice,1/31/2024
Basketball (Mens),Cal legends,Social Media,"$34,584.00",Cash,Cal Legends,Abby,1/29/2024
Basketball (Mens),Cal legends,Social Media,"$380,424.00",,,,
Basketball (Mens),club nillionaire,Social Media,"$4,375.00",Cash,club nillionaire,abby prentice,1/27/2024
Basketball (Mens),Instagram Story Post,Social Media,"$11,250.00",Cash,Calegends,Abby Prentice,1/29/2024
Basketball (Mens),Collective,Social Media,"$10,000.00",Cash,Cal Legends,Abby Prentice,1/30/2024
Basketball (Mens),Social Media Promotion,Social Media,"$7,000.00",Cash,Ca Legends Collective,Abby Prentice,11/30/2023
Basketball (Mens),Picture Display,Not Sure,"$7,500.00",Product/Equity,California Legends,California Legends,1/31/2024
Basketball (Mens),Picture Display,Not Sure,"$82,500.00",,,,
Basketball (Mens),Club Nillionare,Social Media,"$4,375.00",Cash,Club Nillionaire,Abby Prentice,1/31/2024
Basketball (Mens),Club Nillionare,Social Media,"$8,750.00",,,,
Basketball (Mens),grant newell,Other,"$12,500.00",Cash,cal legends collective,abby prentice,1/31/2024
Basketball (Mens),grant newell,Other,"$25,000.00",Cash,CA Legends Collective,abby prentice,
Basketball (Mens),club nillionaire,Social Media,"$4,375.00",Cash,club nillionaire,abby prentice,1/27/2024
Basketball (Mens),september nil payment,Other,"$5,000.00",Cash,Cal Legends Collective,abby prentice,1/31/2024
Basketball (Mens),Social Media Post,Social Media,"$11,250.00",Cash,Calegends,Abby Prentice,1/29/2024
Basketball (Mens),Social Media Post,Social Media,"$112,500.00",,,,
Basketball (Mens),Social media promotion,Social Media,"$7,000.00",Cash,CA legends Collective,Abby Prentice,11/30/2023
Basketball (Mens),Social Media Collaboration,Social Media,"$32,500.00",Cash,California Collective,Jaylon Tyson,8/31/2023
Basketball (Mens),Social Media Collaboration,Social Media,"$357,500.00",Cash,California Collective,Jaylon Tyson,
Basketball (Mens),Social Media Post,Social Media,"$10,000.00",Cash,Calegends,Abby Prentice,1/29/2024
Basketball (Womens),Clothing,Social Media,$75.00,Product/Equity,Niflow Wolfin,Antonio Austin,10/4/2023
Basketball (Womens),clothing brand deal,Royalty,$500.00,Cash,BeSpecial the movement,Elloheim Clark,9/4/2023
Beach VB,Nil Club,Other,$32.56,Cash,Nil Club,Mick,1/20/2024
Cross Country (Womens),Jolyn Referral Payout,Social Media,$55.00,Cash,Jolyn Clothing,Carly Ashen,2/23/2024
Cross Country (Womens),Nil Club Cashout,Other,$15.00,Cash,Nil Club,Bailey O'sullivan,2/23/2024
Cross Country (Womens),Jewlr,Social Media,$50.00,Cash,Post game,Aaron,11/14/2023
Cross Country (Womens),Firefly Recovery Ambassador,Social Media,$125.00,Product/Equity,Firefly,Lauren Campbell,10/13/2023
Cross Country (Womens),Alani Nutrition Monthly Samples,Social Media,$125.00,Product/Equity,Alani Nutrition,Erin Moss,10/5/2023
Cross Country (Womens),Alani Nu New Flavor Sample,Social Media,$75.00,Product/Equity,Alani Nutrition,Erin Moss,8/26/2023
Cross Country (Womens),Alani Nu Monthly Sample,Social Media,$150.00,Product/Equity,Alani Nutrition,Erin Moss,8/23/2023
Cross Country (Womens),Alani Nutrition Welcome Box,Social Media,$150.00,Product/Equity,Alani Nutrition,Erin Moss,8/23/2023
Cross Country (Womens),PR Package,,$100.00,Product/Equity,Hype & Vice,,
Field Hockey,Posting On Instagram In brand Clothes,Social Media,$300.00,Product/Equity,Edikted,Martina,2/13/2024
Field Hockey,percentage off goods,Social Media,$0.00,Cash,Y1 Hockey,grace,8/16/2023
Field Hockey,Posting,Social Media,$150.00,Cash,BAMnut,,
Field Hockey,Content Creation,Social Media,$125.00,Cash,WhatIF Foods,,
Field Hockey,Liquid Iv,Social Media,$50.00,Product/Equity,Liquid IV,,
Field Hockey,Posting On Instagram for Brand,Social Media,$300.00,Product/Equity,Edikted Clothing Brand,,
Football,Cal Legends Collective,Social Media,"$16,667.00",Cash,Ca Legends,Ca Legends,3/2/2024
Football,Event Promotion,Social Media,$100.00,Cash,Cal Legends,Kevin Kennedy,2/23/2024
Football,Nil Club,,$12.20,Cash,Nil club,,
Football,Agency Rep Agreement,,$0.00,Cash,brad blevins,,
General,Piurify,Social Media,$200.00,Product/Equity,Piurify,Piurify Instagram Account,2/20/2024
General,Nil Club,Social Media,"$4,500.00",Cash,Nil Club,Bailey O'Sullivan,2/26/2024
General,Tipsy Putt,Public Appearance,$100.00,Product/Equity,Tipsy Putt,Kenji Tokunaga,12/2/2023
General,Tipsy Putt Appearance,Public Appearance,$100.00,Product/Equity,Tipsy Putt,Kenji Tokunaga,12/3/2023
General,Partner Affiliate Program,Social Media,$600.00,Product/Equity,Lumebox,Steph,9/14/2023
General,Modeling,,$300.00,Product/Equity,Natalie B Designs,,
Track and Field (Men's),2024 SF Giants Affiliate Program,Social Media,$50.00,Product/Equity,SF Giants,,
Golf (Mens),yoke global inc.,Representation Disclosure,$28.93,Cash,yoke global inc.,bailey osullivan,2/28/2024
Gymnastics (Mens),Stanley Nil Deal,Social Media,$50.00,Cash,Post Game Official,Post Game Offcial,1/27/2024
Gymnastics (Mens),CVS Nil Deal,Social Media,$150.00,Cash,Post Game Official,Post Game Official,1/14/2024
Gymnastics (Womens),stanley water flow cup deal,Social Media,$150.00,Cash,stanley,lindsay mouhot,2/15/2024
Gymnastics (Womens),The Team,Outside Employment,"$1,000.00",Cash,The Team,Elizabeth Ford,2/28/2024
Gymnastics (Womens),Digital Autogragh,Autographs,$21.00,Cash,Fans meet idols,Kaiser,11/25/2023
Gymnastics (Womens),Dance Camera Media,Social Media,$240.00,Cash,Cal legends,Cal Legends,8/18/2023
Gymnastics (Womens),Cash App,Social Media,$120.00,Cash,Play Booked,Julia Fisch,8/18/2023
Gymnastics (Womens),Drake #2,Social Media,$119.70,Cash,Play Booked,Julia Fisch,8/18/2023
Gymnastics (Womens),Part 2,Social Media,$67.00,Cash,Play Booked,Julia Fisch,8/18/2023
Gymnastics (Womens),Payment 3,Social Media,$119.70,Cash,Play Booked,Julia Fisch,8/18/2023
Gymnastics (Womens),Fashion Show,,$203.00,Product/Equity,Athleta,,
Gymnastics (Womens),european wax center,,$60.00,Cash,european wax center,,
Gymnastics (Womens),Fellowship Program,,"$1,000.00",Cash,The Team,,
Lacrosse (Womens),Instagram Reel,Social Media,$60.00,Cash,Kohv Eyewear,Jake Kovalcik,1/12/2024
Lacrosse (Womens),Instagram Story,Social Media,$60.00,Cash,Kohv Eyewear,Jake Kovalcik,1/11/2024
Lacrosse (Womens),Instagram Story,Social Media,$66.00,Cash,Feat Clothing,Jake Kovalcik,12/13/2023
Lacrosse (Womens),Comfrt Clothing,Social Media,$70.00,Product/Equity,Comfrt Clothing,Christopher Merz,12/8/2023
Lacrosse (Womens),Postgame NIL Campaign with Sony,Social Media,$15.00,Cash,Postgame,Katie,12/5/2023
Lacrosse (Womens),Instagram Story,Social Media,$66.00,Cash,Hydrolyte,Jake Kovalcik,11/28/2023
Lacrosse (Womens),Clara Page,Social Media,$150.00,Cash,Vuori,Stanton Sharpe,10/30/2023
Lacrosse (Womens),A Day In The Life Of A Cal Summer Intern,Social Media,$450.00,Cash,California Legends Collective,Stephanie Rivera,8/29/2023
Lacrosse (Womens),Emily Moes,Social Media,$150.00,Cash,Cash,Vuori Clothing,
Lacrosse (Womens),Vuori Clothing Deal,Social Media,$150.00,Cash,Cash,Vuori,
Rowing (Mens),C2o Instagram Post,Social Media,$150.00,Cash,98 strong (agent For C2o),98strong,11/14/2023
Rowing (Womens),Cal x Airport of Champions,Social Media,$234.37,Cash,Cash,Oakland Airport,
Rugby (Mens),Partnership,Social Media,$125.00,Product/Equity,Firefly Recovery,Lauren Campbell,1/22/2024
Soccer (Mens),nil club,Not Sure,$10.66,Cash,nil club,bailey o'sullivan,2/21/2024
Soccer (Mens),content creation,Social Media,$200.00,Cash,dr teal's,98strong,12/21/2023
Soccer (Mens),zack andoh,Social Media,$150.00,Cash,c2o coconut water,98strong,12/4/2023
Soccer (Mens),98Strong NIL Deal,Social Media,$150.00,Cash,C2O Coconut Water,Rachel Marsh,12/5/2023
Soccer (Mens),content creation,Social Media,$150.00,Product/Equity,c2o,98strong,10/17/2023
Soccer (Mens),Zack Andoh,Other,$13.55,Cash,NIL Club,NIL Club,
Soccer (Mens),Clio Bars ‐ 98Strong Deal,Social Media,$150.00,Cash,98Strong,98Strong,
Soccer (Womens),Oakland Roots And Sports Club,Social Media,$700.00,Cash,Oakland Roots And Soul Sports Club,Kayla From Cal Legends,11/29/2023
Soccer (Womens),What If Foods BAMnut Milk,Social Media,$150.00,Cash,What IF foods,What IF foods,
Soccer (Womens),Sangria Senorial,Social Media,$150.00,Cash,Sangria Senorial,Sangria Senorial,
Soccer (Womens),Nyx Cosmetics,Social Media,"$2,500.00",Product/Equity,NYx Cosmetics,NYx Cosmetics,
Soccer (Womens),NIL Club,Not Sure,$33.26,Cash,Yoke Global Inc.,Yoke Global Inc.,
Soccer (Womens),Ambassador,Social Media,$200.00,Product/Equity,Steve madden,Steve madden,
Softball,randi roelling,Camps and Lessons,$50.00,Cash,mom of daughter,to a give pitching lesson,12/7/2023
Softball,randi roelling,Outside Employment,$40.00,Cash,athlete to athlete,mentor an athlete,12/7/2023
Softball,November Cal Legends Activation,Social Media,"$5,000.00",Cash,Cal Legends,Cal Legends,12/5/2023
Softball,randi roelling,Other,$10.00,Cash,athlete to athlete,zach maisus,12/2/2023
Softball,October Cal Legends Activation,Social Media,"$5,000.00",Product/Equity,Cal Legends,club nillionaire,12/5/2023
Swimming/Diving (Womens),Insomnia Athletes,Social Media,$200.00,Cash,Insomnia Cookies,Catharine Burns,1/31/2024
Swimming/Diving (Womens),C2O Coconut Water,Social Media,$150.00,Cash,C2O Coconut Water,Manager,12/7/2023
Swimming/Diving (Womens),complete kit,Not Sure,$100.00,Product/Equity,dermasport,david schmidt,11/28/2023
Swimming/Diving (Womens),What If Food,Social Media,$150.00,Cash,What If Foods,98strong,9/19/2023
Swimming/Diving (Womens),Firefly Recovery Ambassador,Social Media,$125.00,Cash,Firefly Recovery,Lauren Campbell,
Track and Field (Mens),98strong,Social Media,$100.00,Product/Equity,Hot Topic,98 Strong,12/5/2023
Track and Field (Mens),98strong,Social Media,$100.00,Product/Equity,Vuori,98strong,12/5/2023
Track and Field (Mens),NoContextXCTrack Custom Shirt,Social Media,$25.00,Product/Equity,NoContextXCTrack,Aidan Donovan‐Stauder,10/16/2023
Track and Field (Mens),Nocontextxctrack Shirt,Social Media,$5.00,Cash,NoContextXCTrack,Aidan Donovan‐Stauder,10/16/2023
Track and Field (Mens),98strong,Social Media,$50.00,Product/Equity,Oh Snap Pickles,98strong,12/5/2023
Track and Field (Mens),Content Creation,Social Media,$150.00,Cash,Vktry Partnership,Ashley Whalen,
Volleyball (Beach),Brand Promotion,Social Media,$120.00,Cash,Bonheur Jewelry,Alicia Smith,3/6/2024
Volleyball (Beach),Product Advertising,Social Media,$200.00,Cash,C2O Coconut Water,Stanton,1/17/2024
Volleyball (Beach),Stanley product for post disclosure,Social Media,$100.00,Product/Equity,Stanley Brand,Lindsay ‐ Postgame,12/18/2023
Volleyball (Beach),Product Promotion,Social Media,$270.00,Product/Equity,Alani Nu,A‐team,10/24/2023
Volleyball (Beach),Suja Ambassador,Social Media,$150.00,Product/Equity,Suja Organic,Influencers Of Suja,8/31/2023
Volleyball (Beach),Item Promotion,Social Media,$600.00,Product/Equity,Prozis,Francisca Gomes,8/30/2023
Volleyball (Beach),Social Media Content,Social Media,$550.00,Product/Equity,Vuori,Alana,
Volleyball (Beach),Social Media Post,Social Media,$15.00,Product/Equity,Oat Haus,Oat Haus,
Volleyball (Womens),Climate Power Influential Post,Social Media,$300.00,Cash,Xomad (ig‐ @climatepower),Imabelle Velasco,3/6/2024
Volleyball (Womens),Amazon Storefront Campaign,Business Ownership/Creation,$500.00,Cash,Amazon,Gemma Weinstein,3/5/2024
Volleyball (Womens),Content Creation Event,Social Media,$150.00,Product/Equity,Boutine Los Angeles,boutinelababes (ig),3/5/2024
Volleyball (Womens),PeakNIL Instagram reel,Social Media,$50.00,Cash,PeakNIL,Ariel Feigenbaum,1/23/2024
Volleyball (Womens),NCSA,Other,$200.00,Cash,NCSA,Jim Broe,1/6/2024
Volleyball (Womens),Restaurant Appearances,Public Appearance,$150.00,Product/Equity,Agrodolce,Angelo Dalo,10/26/2023
Volleyball (Womens),Firefly Social Media,Social Media,$125.00,Product/Equity,Firefly,Lauren Campbell,10/9/2023
Volleyball (Womens),C4 Energy,Social Media,$50.00,Cash,98 Strong,98 Strong,9/1/2023
Volleyball (Womens),Mentor Young Athletes,Other,$650.00,Cash,Athlete To Athlete,Zach Maisus,3/5/2024
Volleyball (Womens),Brand Athlete Representative,Representation Disclosure,$500.00,Product/Equity,PBfit,Mason Hayes,3/5/2024
Volleyball (Womens),Clean Energy,Social Media,$200.00,Cash,The CAPS Group LLC,Brad Blevins,
Volleyball (Womens),Product Exchange,Social Media,$250.00,Product/Equity,Ready Nutrition,Pat Cavanaugh,
Volleyball (Womens),Social Media Advertising,Social Media,$70.00,Product/Equity,Happy Viking,Roccio,
Volleyball (Womens),30 Day Skin Transformation Video Content,Social Media,$150.00,Product/Equity,J. S Health Vitamins,Matilda,
Volleyball (Womens),Video Promotion,Social Media,$250.00,Product/Equity,Reboot Float And Cryo Spa,Allison Baird,
Volleyball (Womens),Modeling,Social Media,$300.00,Product/Equity,Boba Guys,Bin Chen,
Basketball (Mens),Pizza Party at Blondie's Pizza,Social Media,$440.00,product,YRS Inc dba Blondie's Pizza,Abdul Zaloukh,2/4/2025
Basketball (Mens),Pizza Party at Blondie's Pizza,Social Media,$440.00,product,YRS Inc dba Blondie's Pizza,Abdul Zaloukh,2/4/2025
Basketball (Mens),Athlete's Thread Commission,Royalty,$288.07,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Mens),Athlete's Thread Commission,Royalty,$241.83,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$179.76,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$169.33,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$161.79,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$124.55,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$110.46,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$110.29,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$81.84,cash,Athlete's Thread,Ian Collins,2/21/2025
Softball,Athlete's Thread Commission,Royalty,$77.76,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$74.84,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$70.56,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$57.45,cash,Athlete's Thread,Ian Collins,2/21/2025
Softball,Athlete's Thread Commission,Royalty,$44.24,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$42.29,cash,Athlete's Thread,Ian Collins,2/21/2025
Softball,Athlete's Thread Commission,Royalty,$40.04,cash,Athlete's Thread,Ian Collins,2/21/2025
Baseball,Athlete's Thread Commission,Royalty,$36.97,cash,Athlete's Thread,Ian Collins,2/21/2025
Basketball (Womens),Athlete's Thread Commission,Royalty,$35.40,cash,Athlete's Thread,Ian Collins,2/21/2025
Football,Athlete's Thread Commission,Royalty,$34.90,cash,Athlete's Thread,Ian Collins,2/21/2025
